ts,pwd,temp,atm,hum,rssi,snr
09:59:01,nX05,258,102477,65267,-79,9
09:59:02,nX05,258,102477,65260,-84,9
09:59:03,nX05,258,102481,65254,-84,8
09:59:04,nX05,258,102481,65247,-94,7
09:59:05,nX05,258,102481,65254,-84,9
09:59:06,nX05,258,102481,65247,-82,9
09:59:07,nX05,259,102479,65247,-82,8
09:59:08,nX05,259,102479,65254,-83,8
09:59:09,nX05,259,102479,65247,-81,8
09:59:10,nX05,259,102479,65254,-84,8
09:59:11,nX05,259,102479,65240,-84,8
09:59:12,nX05,259,102479,65247,-83,9
09:59:13,nX05,259,102479,65221,-82,9
09:59:14,nX05,259,102479,65240,-82,8
09:59:15,nX05,259,102479,65234,-81,9
09:59:16,nX05,259,102479,65234,-89,8
09:59:17,nX05,259,102479,65234,-85,9
09:59:18,nX05,259,102479,65234,-86,9
09:59:19,nX05,259,102479,65214,-93,8
09:59:20,nX05,259,102479,65227,-84,8
09:59:21,nX05,259,102479,65221,-80,8
09:59:22,nX05,259,102479,65227,-81,9
09:59:23,nX05,260,102479,65226,-84,8
09:59:24,nX05,260,102479,65239,-88,8
09:59:26,nX05,260,102479,65226,-87,8
09:59:27,nX05,260,102479,65226,-87,8
09:59:28,nX05,260,102481,65220,-90,8
09:59:29,nX05,260,102481,65226,-85,8
09:59:30,nX05,260,102481,65226,-83,9
09:59:31,nX05,260,102481,65226,-85,9
09:59:32,nX05,260,102481,65226,-83,9
09:59:33,nX05,260,102481,65233,-81,9
09:59:34,nX05,260,102481,65246,-81,8
09:59:35,nX05,260,102481,65220,-98,7
09:59:36,nX05,260,102481,65233,-79,8
09:59:37,nX05,260,102483,65233,-89,8
09:59:38,nX05,260,102483,65226,-90,8
09:59:39,nX05,260,102483,65233,-94,7
09:59:40,nX05,260,102481,65239,-87,8
09:59:41,nX05,260,102481,65246,-92,7
09:59:42,nX05,261,102481,65253,-87,8
09:59:43,nX05,261,102481,65233,-94,5
09:59:44,nX05,261,102481,65233,-91,8
09:59:45,nX05,261,102481,65246,-83,9
09:59:46,nX05,261,102481,65260,-82,9
09:59:47,nX05,261,102481,65260,-87,8
09:59:48,nX05,261,102479,65253,-83,10
09:59:49,nX05,261,102479,65266,-86,8
09:59:51,nX05,261,102479,65266,-80,9
09:59:52,nX05,261,102479,65266,-81,8
09:59:53,nX05,262,102481,65260,-81,9
09:59:54,nX05,262,102481,65266,-82,8
09:59:55,nX05,262,102481,65266,-96,6
09:59:56,nX05,262,102481,65266,-86,9
09:59:57,nX05,262,102481,65273,-86,8
09:59:58,nX05,263,102483,65265,-85,9
09:59:59,nX05,263,102483,65292,-89,6
10:00:00,nX05,263,102483,65278,-81,8
10:00:01,nX05,263,102483,65272,-80,9
10:00:02,nX05,263,102481,65292,-81,8
10:00:03,nX05,263,102481,65292,-81,9
10:00:04,nX05,263,102481,65298,-83,9
10:00:05,nX05,264,102483,65285,-85,8
10:00:06,nX05,264,102483,65292,-85,8
10:00:07,nX05,264,102483,65292,-90,4
